"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-09-30","96.1","-2.32","5.65","Judge, Aaron",592450,679525,"single","hit_into_play",,,,,1,"Aaron Judge singles on a line drive to left fielder MJ Melendez.","R","R","R","KC","NYY","X",7,"line_drive",2,2,2023,"-1","1.2","-0.73","3.57",,,,1,5,"Top",88.89,115.7,,,682515,,,6.478321736998736,-139.83458681172064,-2.64961422537443,-14.52107916480765,29.631800688219275,-16.039062199520025,"3.92","1.82",189,"89.2",17,"96.5",2516,"6.4",716375,679525,682515,668472,686681,672580,677951,669004,680118,676369,"54.13",0.814,0.771,"0.9",1,1,0,4,39,5,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",225,"-0.033","0.284"
"CH","2023-09-30","86.8","-2.52","5.5","Judge, Aaron",592450,679525,,"swinging_strike",,,,,14,"Aaron Judge singles on a line drive to left fielder MJ Melendez.","R","R","R","KC","NYY","S",,,2,1,2023,"-0.84","0.26","0.12","1.59",,,,1,5,"Top",,,,,682515,,,8.081681803097608,-126.25843062619207,-3.776720122197924,-10.529538086916794,22.772573865399618,-28.832400150119636,"3.92","1.82",,,,"87.7",1772,"6.6",716375,679525,682515,668472,686681,672580,677951,669004,680118,676369,"53.91",,,,,,,,39,4,"Changeup",2,2,2,2,2,2,2,2,"Standard","Standard",230,"0","-0.048"
"ST","2023-09-30","86.4","-2.35","5.59","Judge, Aaron",592450,679525,,"ball",,,,,14,"Aaron Judge singles on a line drive to left fielder MJ Melendez.","R","R","R","KC","NYY","B",,,1,1,2023,"0.56","-0.47","1.68","-1.85",,,,1,5,"Top",,,,,682515,,,8.411655780891898,-125.18951819259276,-10.392714384096392,4.032448046742346,27.337007544066925,-35.002444350005476,"4.04","1.94",,,,"85.6",2414,"6.2",716375,679525,682515,668472,686681,672580,677951,669004,680118,676369,"54.33",,,,,,,,39,3,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",13,"0","0.034"
"ST","2023-09-30","86.1","-2.52","5.61","Judge, Aaron",592450,679525,,"called_strike",,,,,5,"Aaron Judge singles on a line drive to left fielder MJ Melendez.","R","R","R","KC","NYY","S",,,1,0,2023,"0.45","0.01","-0.2","2.78",,,,1,5,"Top",,,,,682515,,,4.589976144581252,-125.45640083299818,-0.5565990910827091,3.8458524949967585,24.017272985678588,-32.177458733473514,"4.1","1.92",,,,"86",2467,"6",716375,679525,682515,668472,686681,672580,677951,669004,680118,676369,"54.49",,,,,,,,39,2,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",47,"0","-0.031"
"FF","2023-09-30","93.8","-2.23","5.7","Judge, Aaron",592450,679525,,"ball",,,,,14,"Aaron Judge singles on a line drive to left fielder MJ Melendez.","R","R","R","KC","NYY","B",,,0,0,2023,"-1.01","1.16","1.15","2.28",,,,1,5,"Top",,,,,682515,,,10.993940003548273,-136.18194480320696,-5.713149936217836,-14.88583455971253,28.428927183949227,-16.65748123524969,"4.17","1.96",,,,"94.1",2525,"6.5",716375,679525,682515,668472,686681,672580,677951,669004,680118,676369,"53.99",,,,,,,,39,1,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",229,"0","0.025"
"FF","2023-09-30","94.2","2.56","5.24","Judge, Aaron",592450,672582,"field_out","hit_into_play",,,,,4,"Aaron Judge flies out sharply to center fielder Dairon Blanco.","R","R","L","KC","NYY","X",8,"fly_ball",0,2,2023,"0.84","0.94","-0.47","2.72",,,,2,8,"Top",123.05,51.37,,,682515,,,-9.550145092188766,-136.8739568826793,-2.913902391501611,12.549864713740982,27.997513913333997,-19.920930637110352,"3.92","1.82",366,"101.7",23,"93",1960,"5.5",716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,"55.03",0.666,0.942,"0",1,0,0,6,69,4,"4-Seam Fastball",2,5,5,2,5,2,5,2,"Standard","Standard",119,"0.003","-0.065"
"FF","2023-09-30","94.9","2.36","5.46","Judge, Aaron",592450,672582,,"foul",,,,,9,"Aaron Judge flies out sharply to center fielder Dairon Blanco.","R","R","L","KC","NYY","S",,,0,2,2023,"0.72","0.99","0.39","2.36",,,,2,8,"Top",,,,,682515,,,-6.631568616618957,-138.13348443024148,-4.655861122683427,10.606381435675557,27.68559376266704,-18.62797237083894,"3.92","1.82",2,"85.2",-44,"93.8",2003,"5.4",716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,"55.12",,,,,,,,69,3,"4-Seam Fastball",2,5,5,2,5,2,5,2,"Standard","Standard",130,"0","0"
"CH","2023-09-30","84.9","2.1","5.81","Judge, Aaron",592450,672582,,"called_strike",,,,,9,"Aaron Judge flies out sharply to center fielder Dairon Blanco.","R","R","L","KC","NYY","S",,,0,1,2023,"0.88","0.31","0.79","2.29",,,,2,8,"Top",,,,,682515,,,-4.699576643475896,-123.66922601183977,-2.6089984180018218,9.896159992487158,21.22320492680566,-28.678169857508646,"4.08","1.94",,,,"83.8",1371,"5.2",716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,"55.28",,,,,,,,69,2,"Changeup",2,5,5,2,5,2,5,2,"Standard","Standard",131,"0","-0.023"
"CH","2023-09-30","86.7","2.13","5.66","Judge, Aaron",592450,672582,,"called_strike",,,,,9,"Aaron Judge flies out sharply to center fielder Dairon Blanco.","R","R","L","KC","NYY","S",,,0,0,2023,"0.98","0.77","0.54","2.35",,,,2,8,"Top",,,,,682515,,,-5.683641323954119,-126.20445090137024,-3.3277621170543146,11.554226535338119,22.399705464672056,-23.45055600025958,"4.17","2",,,,"85.6",1560,"5.3",716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,"55.24",,,,,,,,69,1,"Changeup",2,5,5,2,5,2,5,2,"Standard","Standard",129,"0","-0.017"
"FF","2023-09-30","94.9","-2.37","5.69","Judge, Aaron",592450,679525,"field_out","hit_into_play",,,,,7,"Aaron Judge flies out sharply to center fielder Drew Waters.","R","R","R","KC","NYY","X",8,"fly_ball",0,0,2023,"-0.69","1.21","-0.33","2.06",518934,,,2,3,"Top",158.79,45.89,,,682515,,,6.841030513575649,-138.10592495009362,-6.57687307685804,-10.313552260395864,27.136930759353262,-15.434758224793962,"3.92","1.82",386,"100.2",34,"94.9",2536,"6",716375,679525,682515,668472,686681,672580,677951,669004,671221,676369,"54.5",0.409,0.705,"0",1,0,0,5,21,1,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",222,"0.042","-0.352"
