"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-09-03","88.7","2.17","6.01","Ohtani, Shohei",660271,666205,"field_out","hit_into_play",,,,,6,"Shohei Ohtani pops out to first baseman Ryan Noda.","R","L","L","OAK","LAA","X",3,"popup",3,2,2023,"-0.06","0.35","0.43","2.79",,,,2,3,"Top",136.81,177.56,,,669127,,,-4.130988445390975,-129.13451303594712,-2.542076644469842,0.22092080694299535,28.47083270943728,-27.894078801657432,"3.48","1.61",68,"66.7",74,"88.8",2073,"6.4",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.06",0.009,0.01,"0",1,0,0,3,18,6,"Slider",0,0,0,0,0,0,0,0,,"Standard",134,"0.011","-0.13"
"CU","2023-09-03","83.9","1.96","6.19","Ohtani, Shohei",660271,666205,,"ball",,,,,13,"Shohei Ohtani pops out to first baseman Ryan Noda.","R","L","L","OAK","LAA","B",,,2,2,2023,"-0.28","-0.45","-1.27","-0.45",,,,2,3,"Top",,,,,669127,,,-6.925936303338859,-121.92862122621881,-8.09434562640331,-1.5421265907636472,21.877295841614295,-35.37222382101207,"3.56","1.63",,,,"84.1",2389,"6.3",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.2",,,,,,,,18,5,"Curveball",0,0,0,0,0,0,0,0,,"Standard",346,"0","0.04"
"CU","2023-09-03","82.3","2.01","6.2","Ohtani, Shohei",660271,666205,,"ball",,,,,12,"Shohei Ohtani pops out to first baseman Ryan Noda.","R","L","L","OAK","LAA","B",,,1,2,2023,"-0.5","-0.77","2.03","2.74",,,,2,3,"Top",,,,,669127,,,1.003315014683733,-119.95947361940307,0.15059690393765757,-5.043700390435555,23.388402175939856,-39.871526563311306,"3.48","1.63",,,,"82.2",2341,"6.1",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.37",,,,,,,,18,4,"Curveball",0,0,0,0,0,0,0,0,,"Standard",326,"0","0.016"
"FF","2023-09-03","94.3","1.92","6.02","Ohtani, Shohei",660271,666205,,"foul",,,,,2,"Shohei Ohtani pops out to first baseman Ryan Noda.","R","L","L","OAK","LAA","S",,,1,1,2023,"0.57","1.21","0.04","3.13",,,,2,3,"Top",,,,,669127,,,-6.1810991138547715,-137.3118757744554,-4.558368800608127,8.528898114699885,27.193431751592083,-16.06709407162372,"3.48","1.61",157,"84.1",70,"94.9",2364,"6.3",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.16",,,,,,,,18,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,,"Standard",142,"0","-0.027"
"FF","2023-09-03","93.9","2.07","5.83","Ohtani, Shohei",660271,666205,,"swinging_strike",,,,,6,"Shohei Ohtani pops out to first baseman Ryan Noda.","R","L","L","OAK","LAA","S",,,1,0,2023,"0.73","1.11","0.79","2.43",,,,2,3,"Top",,,,,669127,,,-4.931318589545489,-136.7141039174444,-5.615765545208036,10.14244048519451,27.20443747837853,-17.201111036378652,"3.48","1.61",,,,"94.7",2371,"6.5",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"53.98",,,,,,,,18,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,,"Standard",136,"0","-0.022"
"CU","2023-09-03","82.4","1.89","6.16","Ohtani, Shohei",660271,666205,,"ball",,,,,13,"Shohei Ohtani pops out to first baseman Ryan Noda.","R","L","L","OAK","LAA","B",,,0,0,2023,"-0.17","-0.7","-1.54","0.52",,,,2,3,"Top",,,,,669127,,,-7.446128889032528,-119.77377701493026,-4.940513568937456,-0.2414986409760508,22.467047043732553,-38.13653681059028,"3.56","1.59",,,,"82.5",2252,"6.3",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.17",,,,,,,,18,1,"Curveball",0,0,0,0,0,0,0,0,,"Standard",345,"0","0.016"
"SL","2023-09-03","82.7","2.38","5.29","Ohtani, Shohei",660271,669912,"strikeout","swinging_strike",,,,,11,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",2,,1,2,2023,"-1.03","0.07","-1.33","2.68",,,650859,1,9,"Top",,,,,669127,,,-6.471044543924081,-120.37825315365647,0.32464346488958995,-9.020931458159339,20.660427586934734,-31.755591715679024,"3.48","1.61",,,,"83.3",2885,"6.4",716731,669912,669127,676116,680869,649557,669397,664913,671732,667670,"54.11",,,"0",1,0,0,,79,4,"Slider",10,6,6,10,6,10,6,10,,"Standard",268,"0.01","-0.215"
"SI","2023-09-03","92.9","2.52","5.21","Ohtani, Shohei",660271,669912,,"called_strike",,,,,6,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",,,1,1,2023,"1.55","0.26","0.55","2.26",,,650859,1,9,"Top",,,,,669127,,,-8.431167364493945,-134.9638625244852,-2.3133310243881318,20.791374546525194,30.290275493349828,-28.648264980904194,"3.48","1.59",,,,"92.7",2395,"6.3",716731,669912,669127,676116,680869,649557,669397,664913,671732,667670,"54.19",,,,,,,,79,3,"Sinker",10,6,6,10,6,10,6,10,,"Standard",124,"0","-0.065"
"SI","2023-09-03","93.4","2.53","5.26","Ohtani, Shohei",660271,669912,,"ball",,,,,14,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","B",,,0,1,2023,"1.49","0.32","1.54","1.63",,,650859,1,9,"Top",,,,,669127,,,-5.82138520476037,-135.86052771828767,-4.2773964532017414,19.72169685569967,30.80370490920831,-27.4361341544722,"3.48","1.47",,,,"93.2",2409,"6.3",716731,669912,669127,676116,680869,649557,669397,664913,671732,667670,"54.25",,,,,,,,79,2,"Sinker",10,6,6,10,6,10,6,10,,"Standard",115,"0","0.03"
"SL","2023-09-03","82.9","2.41","5.22","Ohtani, Shohei",660271,669912,,"foul",,,,,5,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",,,0,0,2023,"-0.46","0.38","0.08","2.75",,,650859,1,9,"Top",,,,,669127,,,-4.412244544513514,-120.75812095206959,-0.021477472676282194,-3.8784415279093,19.845145823265696,-28.55019959485218,"3.48","1.61",178,"65.6",48,"83.5",2738,"6.3",716731,669912,669127,676116,680869,649557,669397,664913,671732,667670,"54.24",,,,,,,,79,1,"Slider",10,6,6,10,6,10,6,10,,"Standard",259,"0","-0.05"
