jersey_no,name,min,fieldgoal_ma,fieldgoal_pct,2pt_ma,2pt_pct,3pt_ma,3pt_pct,freethrow_ma,freethrow_pct,rebound_or,rebound_dr,rebound_tot,assist,turnover,steal,block,fouls_pf,fouls_fd,pos_neg,points
27,CJ Cansino,24:30:00,Oct-17,58.8,08-Oct,80,02-Jul,28.6,0/2,0,1,5,6,1,2,1,2,1,3,5,22
10,*Malick Diouf,26:29:00,04-Nov,36.4,04-Nov,36.4,0/0,0,05-Oct,50,8,3,11,2,1,1,2,2,6,-2,13
19,*Gerry Abadiano,20:19,05-Oct,50,04-Jul,57.1,01-Mar,33.3,01-Jan,100,1,2,3,0,2,0,0,1,2,-22,12
13,Mark Belmonte,18:20,04-May,80,03-Apr,75,01-Jan,100,0/0,0,2,1,3,1,1,0,1,1,0,8,9
2,Reyland Torres,20:56,03-Aug,37.5,01-Jan,100,02-Jul,28.6,0/2,0,2,1,3,1,1,2,0,5,1,1,8
24,*Sean Aldous Torculas,11:43,02-May,40,02-Apr,50,0/1,0,02-Apr,50,1,0,1,1,2,0,0,2,2,-8,6
12,JD Cagulangan,26:22:00,02-Nov,18.2,02-Sep,22.2,0/2,0,01-Jan,100,2,3,5,6,2,3,0,2,2,1,5
17,Francis Lopez,19:05,02-Mar,66.7,01-Jan,100,01-Feb,50,0/0,0,0,2,2,3,1,1,1,4,0,-4,5
18,*Harold Alarcon,20:56,02-Oct,20,02-Jun,33.3,0/4,0,01-Jan,100,0,1,1,2,1,0,0,4,4,-5,5
33,Sean Stark Alter,11:07,01-Feb,50,01-Feb,50,0/0,0,01-Apr,25,3,2,5,0,0,0,0,2,2,-6,3
20,*Janjan Felicilda,18:37,0/2,0,0/1,0,0/1,0,01-Feb,50,0,5,5,2,1,4,0,2,1,-11,1
15,Cyril Gonzales,4:24,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0
77,Chicco Briones,2:07,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,1,0,-7,0
Team/Coach,,,,,,,,,,,0,0,0,,0,,,0,,,
Totals,,225:00:00,35/84,41.7,28/56,50,Jul-28,25,Dec-27,44.4,20,25,45,19,14,12,6,28,23,-10,89
